编号,品牌,商品名,类别,容量(ml),能量(kJ/100ml),能量(kcal/100ml),蛋白质(g/100ml),脂肪(g/100ml),碳水化合物(g/100ml),糖(g/100ml),钠(mg/100ml),备注
68,豆本豆,原味豆奶,植物蛋白饮料,250,210,50,3.0,1.5,7.0,6.5,50,非转基因大豆
69,椰树,椰汁,植物蛋白饮料,245,222,53,0.6,2.6,7.5,7.0,35,纯椰汁
70,汇源,100%橙汁,果汁饮料,250,209,50,0.4,0,12.0,11.5,8,纯果汁
71,汇源,100%苹果汁,果汁饮料,250,209,50,0,0,12.5,12.0,10,纯果汁
72,汇源,100%葡萄汁,果汁饮料,250,250,60,0,0,15.0,15.0,5,纯果汁
73,汇源,橙汁饮料25%,果汁饮料,500,170,41,0,0,10.0,9.5,10,含25%橙汁
74,味全,每日C橙汁,果汁饮料,900,220,53,0,0,13.0,12.5,10,100%橙汁
75,雀巢,即溶咖啡饮料,咖啡饮料,250,204,49,1.0,1.0,10.0,9.5,60,
76,统一,雅哈咖啡,咖啡饮料,268,280,67,1.0,2.5,12.0,11.5,65,
77,星巴克,星选美式,咖啡饮料,270,20,5,0.5,0,0.5,0,8,无糖美式
78,贝纳颂,丝滑拿铁,咖啡饮料,250,290,69,2.0,3.0,9.0,8.5,70,含牛奶
79,麦斯威尔,冰咖啡,咖啡饮料,250,222,53,1.0,1.0,11.0,10.5,65,
80,雀巢,茶萃绿茶,茶饮料,500,134,32,0,0,7.9,7.9,15,
81,天地一号,苹果醋饮料,醋饮料,500,130,31,0,0,7.5,7.5,10,果醋饮料
82,屈臣氏,苏打水,苏打水,330,0,0,0,0,0,0,48,无味苏打水
83,百岁山,天然矿泉水,饮用水,570,0,0,0,0,0,0,6,天然矿泉
84,百岁山,苏打水,苏打水,500,0,0,0,0,0,0,53,含碳酸
85,怡宝,纯净水,饮用水,550,0,0,0,0,0,0,0,纯净水
86,冰露,纯净水,饮用水,550,0,0,0,0,0,0,0,可口可乐旗下
87,健力宝,运动饮料,运动饮料,330,163,39,0,0,9.5,9.5,25,含碱性离子
88,大窑,橙汽水,碳酸饮料,520,176,42,0,0,10.5,10.5,18,东北汽水
89,汉口二厂,冰虹汽水橙味,碳酸饮料,275,167,40,0,0,9.5,9.5,15,武汉网红汽水
90,伊藤园,无糖绿茶,茶饮料,500,0,0,0,0,0,0,8,日式无糖茶
91,统一,茶里王无糖绿茶,茶饮料,580,0,0,0,0,0,0,10,无糖茶
92,康师傅,冰力美式黑咖啡,咖啡饮料,450,42,10,0.5,0,0.5,0,20,低糖黑咖啡
93,东方树叶,青柑普洱,茶饮料,500,0,0,0,0,0,0,5,农夫山泉出品
94,有颜有色,玫瑰茄茶,茶饮料,500,30,7,0,0,1.8,1.8,10,小众花草茶
95,景田,百岁山矿泉水,饮用水,550,0,0,0,0,0,0,7,天然弱碱性
96,统一,海之言柠檬味,运动饮料,490,42,10,0,0,2.5,2.5,60,电解质饮料
97,蒙牛,冠益乳,乳饮料,200,298,71,2.8,2.0,11.5,11.0,95,益生菌酸奶
98,奥利奥,巧克力奥利奥牛奶,乳饮料,250,290,69,2.5,2.5,12.0,11.5,80,联名款
99,鲁花,苏打水,苏打水,500,0,0,0,0,0,0,52,无糖无热量
100,宝矿力,水特葡萄味,运动饮料,500,62,15,0,0,3.5,3.5,49,电解质补充
