编号,品牌,商品名,类别,规格,份量(每次),能量(kJ/份),能量(kcal/份),蛋白质(g/份),脂肪(g/份),碳水化合物(g/份),主要活性成分(每份),备注
62,善存,男士善存,综合维生素,100片,1片,25,6,0,0,1.5,针对男性配方,
63,善存,女士善存,综合维生素,100片,1片,25,6,0,0,1.5,针对女性配方+铁,
64,汤臣倍健,21金维他,综合维生素,100片,1片,25,6,0,0,1.5,21种维生素矿物质,
65,汤臣倍健,多维矿物质,综合维生素,90片,1片,21,5,0,0,1.25,全谱维矿,
66,Swisse,综合维生素矿物质,综合维生素,60片,1片,25,6,0,0,1.5,全谱维矿 澳洲配方,
67,Swisse,女性综合维生素,综合维生素,60片,1片,25,6,0,0,1.5,含铁+叶酸 女性配方,
68,Swisse,男性综合维生素,综合维生素,60片,1片,25,6,0,0,1.5,含锌+番茄红素 男性配方,
69,Blackmores,综合维生素矿物质,综合维生素,60片,1片,25,6,0,0,1.5,澳洲进口,
70,Nature Made,多维片,综合维生素,365片,1片,25,6,0,0,1.5,美国进口,
71,NOW Foods,ADAM男性多维,综合维生素,90粒,2粒,42,10,0,0,2,男性专属配方,
72,NOW Foods,EVE女性多维,综合维生素,90粒,2粒,42,10,0,0,2,女性专属配方,
73,Garden of Life,有机男性多维,综合维生素,120粒,4粒,84,20,1,0,3,有机认证男性配方,
74,Garden of Life,有机女性多维,综合维生素,120粒,4粒,84,20,1,0,3,有机认证女性配方,
75,GNC,Ultra Mega多维,综合维生素,180粒,2粒,42,10,0,0,2,高剂量全谱,
76,星期一,每日综合维生素,综合维生素,30粒,1粒,25,6,0,0,1.5,,
77,诺特兰德,综合维生素片,综合维生素,100片,1片,25,6,0,0,1.5,,
78,Centrum,金善存银装(老年版),综合维生素,100片,1片,25,6,0,0,1.5,适合50岁以上,
79,Thorne,Basic Nutrients多维,综合维生素,60粒,2粒,42,10,0,0,2,无铁无铜配方,
80,康比特,运动多维,综合维生素,90片,1片,25,6,0,0,1.5,含电解质+B族加强,
81,汤臣倍健,深海鱼油软胶囊,鱼油/Omega-3,90粒,3粒,125,30,0,3,0,Omega-3脂肪酸1050mg(EPA 630mg+DHA 420mg),
82,汤臣倍健,鱼油高纯度,鱼油/Omega-3,60粒,2粒,84,20,0,2,0,Omega-3 900mg(EPA 540mg+DHA 360mg),
83,Swisse,无腥味鱼油,鱼油/Omega-3,200粒,2粒,84,20,0,2,0,Omega-3 1000mg(EPA 180mg+DHA 120mg),澳洲进口
84,Swisse,高纯度鱼油,鱼油/Omega-3,60粒,1粒,84,20,0,2,0,Omega-3 1500mg(EPA 900mg+DHA 600mg),
85,NOW Foods,超级Omega-3,鱼油/Omega-3,180粒,2粒,125,30,0,3,0,Omega-3 2000mg(EPA 360mg+DHA 240mg),
86,NOW Foods,浓缩鱼油,鱼油/Omega-3,100粒,1粒,42,10,0,1,0,Omega-3 1000mg(EPA 180mg+DHA 120mg),
87,自然之宝,深海鱼油,鱼油/Omega-3,90粒,2粒,84,20,0,2,0,Omega-3 1000mg,
88,Nature Made,鱼油1200mg,鱼油/Omega-3,200粒,1粒,42,10,0,1,0,鱼油1200mg(Omega-3 360mg),
89,Nature Made,深海鱼油+维D,鱼油/Omega-3,90粒,1粒,42,10,0,1,0,Omega-3 300mg+维生素D3 600IU,
90,Blackmores,无腥鱼油1000,鱼油/Omega-3,400粒,2粒,84,20,0,2,0,鱼油2000mg(Omega-3 600mg),
91,Blackmores,浓缩深海鱼油,鱼油/Omega-3,60粒,1粒,84,20,0,2,0,高浓缩Omega-3 1000mg,
92,GNC,三倍浓缩鱼油,鱼油/Omega-3,120粒,1粒,42,10,0,1,0,Omega-3 900mg(EPA 540mg+DHA 360mg),
93,Life Extension,超级Omega-3,鱼油/Omega-3,120粒,2粒,125,30,0,3,0,EPA 1400mg+DHA 1000mg,高EPA配方
94,Nordic Naturals,终极Omega鱼油,鱼油/Omega-3,60粒,2粒,167,40,0,4,0,EPA 650mg+DHA 450mg,
95,星期一,深海鱼油,鱼油/Omega-3,60粒,2粒,84,20,0,2,0,Omega-3 1000mg,
96,诺特兰德,深海鱼油,鱼油/Omega-3,100粒,2粒,84,20,0,2,0,Omega-3 800mg,
97,康比特,鱼油软胶囊,鱼油/Omega-3,60粒,2粒,84,20,0,2,0,Omega-3 720mg,
98,汤臣倍健,藻油DHA,DHA藻油,60粒,1粒,84,20,0,2,0,DHA 300mg,素食者可用 海藻来源
99,NOW Foods,DHA藻油,DHA藻油,90粒,1粒,84,20,0,2,0,DHA 200mg,素食来源
100,Martek,Lifes DHA藻油,DHA藻油,60粒,1粒,84,20,0,2,0,DHA 250mg,
101,星期一,藻油DHA,DHA藻油,30粒,1粒,84,20,0,2,0,DHA 200mg,孕妇可用
102,诺特兰德,磷虾油,磷虾油,60粒,2粒,84,20,0,2,0,Omega-3 500mg(EPA 150mg+DHA 90mg)+磷脂,磷脂结合型吸收更佳
103,汤臣倍健,南极磷虾油,磷虾油,60粒,2粒,84,20,0,2,0,磷虾油1000mg(EPA+DHA 300mg+磷脂400mg),
104,Swisse,磷虾油,磷虾油,30粒,1粒,42,10,0,1,0,磷虾油500mg(EPA 75mg+DHA 45mg),
105,NOW Foods,磷虾油,磷虾油,60粒,2粒,84,20,0,2,0,磷虾油1000mg(EPA+DHA 200mg),
106,Natrol,褪黑素1mg,褪黑素,90片,1片,0,0,0,0,0,褪黑素1mg,最低剂量 从0.5-1mg起步
107,Natrol,褪黑素3mg,褪黑素,240片,1片,0,0,0,0,0,褪黑素3mg,美国销量第一
108,Natrol,褪黑素5mg,褪黑素,90片,1片,0,0,0,0,0,褪黑素5mg,
109,Natrol,褪黑素10mg,褪黑素,60片,1片,0,0,0,0,0,褪黑素10mg,高剂量
110,汤臣倍健,褪黑素片,褪黑素,30片,1片,0,0,0,0,0,褪黑素3mg,
111,NOW Foods,褪黑素3mg,褪黑素,180粒,1粒,0,0,0,0,0,褪黑素3mg,
112,NOW Foods,褪黑素5mg,褪黑素,60粒,1粒,0,0,0,0,0,褪黑素5mg,
113,自然之宝,褪黑素3mg,褪黑素,240片,1片,0,0,0,0,0,褪黑素3mg,
114,Nature Made,褪黑素3mg,褪黑素,240片,1片,0,0,0,0,0,褪黑素3mg,美国进口
115,GNC,褪黑素快溶片,褪黑素,120片,1片,0,0,0,0,0,褪黑素5mg 舌下溶解,
116,脑白金,脑白金,褪黑素/调节睡眠,30粒,1粒,0,0,0,0,0,褪黑素0.5mg+GABA,国内知名品牌
117,Blackmores,褪黑素,褪黑素,30片,1片,0,0,0,0,0,褪黑素1.9mg,澳洲配方
118,星期一,缓释褪黑素,褪黑素,30片,1片,0,0,0,0,0,褪黑素5mg缓释,
119,Swisse,美肤+睡眠,褪黑素/美容,60片,1片,0,0,0,0,0,褪黑素3mg+胶原蛋白100mg,
120,诺特兰德,褪黑素片,褪黑素,60片,1片,0,0,0,0,0,褪黑素3mg,
121,Swisse,水飞蓟(奶蓟草)1000mg,奶蓟草/护肝,200片,1片,0,0,0,0,0,水飞蓟提取物1000mg(水飞蓟素800mg),
122,汤臣倍健,护肝片(奶蓟草),奶蓟草/护肝,60片,2片,0,0,0,0,0,水飞蓟素140mg+多烯磷脂酰胆碱,肝脏补剂销量第一
123,NOW Foods,水飞蓟素提取物,奶蓟草/护肝,100粒,1粒,0,0,0,0,0,水飞蓟素150mg(80%标准提取),
124,自然之宝,奶蓟草提取物,奶蓟草/护肝,50粒,1粒,0,0,0,0,0,水飞蓟素175mg,
125,Blackmores,奶蓟草,奶蓟草/护肝,42粒,1粒,0,0,0,0,0,水飞蓟提取物4200mg(相当鲜药),
126,Life Extension,水飞蓟宾,奶蓟草/护肝,60粒,1粒,0,0,0,0,0,水飞蓟宾240mg,最活性成分
127,GNC,奶蓟草护肝,奶蓟草/护肝,90粒,1粒,0,0,0,0,0,水飞蓟素120mg,
128,Thorne,Siliphos水飞蓟磷脂复合,奶蓟草/护肝,60粒,1粒,0,0,0,0,0,水飞蓟素磷脂复合物900mg,
129,诺特兰德,护肝奶蓟草,奶蓟草/护肝,100片,2片,0,0,0,0,0,水飞蓟素140mg,
130,星期一,奶蓟草提取物,奶蓟草/护肝,60粒,1粒,0,0,0,0,0,水飞蓟提取物500mg(水飞蓟素350mg),
131,汤臣倍健,辅酶Q10软胶囊,辅酶Q10,60粒,1粒,42,10,0,1,0,辅酶Q10 100mg,
132,Swisse,辅酶Q10 150mg,辅酶Q10,60粒,1粒,42,10,0,1,0,辅酶Q10 150mg,
133,NOW Foods,辅酶Q10 100mg,辅酶Q10,150粒,1粒,42,10,0,1,0,辅酶Q10 100mg,
134,NOW Foods,辅酶Q10 200mg,辅酶Q10,60粒,1粒,42,10,0,1,0,辅酶Q10 200mg,
135,自然之宝,辅酶Q10 200mg,辅酶Q10,80粒,1粒,42,10,0,1,0,辅酶Q10 200mg,
136,Nature Made,辅酶Q10 200mg,辅酶Q10,140粒,1粒,42,10,0,1,0,辅酶Q10 200mg,
137,GNC,辅酶Q10 200mg,辅酶Q10,60粒,1粒,42,10,0,1,0,辅酶Q10 200mg,
138,Kaneka,Ubiquinol还原型Q10,辅酶Q10,60粒,1粒,42,10,0,1,0,还原型辅酶Q10 100mg,还原型更易吸收
139,Life Extension,泛醇(还原型Q10),辅酶Q10,60粒,1粒,42,10,0,1,0,还原型辅酶Q10 100mg+维生素E,
140,诺特兰德,辅酶Q10,辅酶Q10,60粒,1粒,42,10,0,1,0,辅酶Q10 100mg,
141,汤臣倍健,钙+D3片,钙/矿物质,60片,2片,21,5,0,0,1.25,钙600mg+维生素D3 200IU,
142,汤臣倍健,液体钙软胶囊,钙/矿物质,60粒,2粒,42,10,0,1,0,碳酸钙400mg+维生素D3 200IU,
143,Swisse,钙+D3+K2,钙/矿物质,150片,1片,0,0,0,0,0,钙600mg+D3 400IU+K2 45mcg,
144,自然之宝,超强钙1200mg,钙/矿物质,120片,1片,0,0,0,0,0,碳酸钙1200mg+维生素D3 1000IU,
145,NOW Foods,柠檬酸钙,钙/矿物质,250片,2片,0,0,0,0,0,柠檬酸钙500mg,非碳酸钙 胃酸少者适合
146,汤臣倍健,钙镁锌,钙镁锌,90片,3片,0,0,0,0,0,钙300mg+镁150mg+锌5mg+D3,
147,NOW Foods,钙镁锌复合,钙镁锌,180片,3片,0,0,0,0,0,钙1000mg+镁500mg+锌15mg,
148,Swisse,钙镁片,钙镁,60片,2片,0,0,0,0,0,钙500mg+镁250mg+D3 200IU,
149,Blackmores,骨骼健康钙,钙/矿物质,60片,2片,0,0,0,0,0,钙600mg+D3 200IU+K2,
150,乐力,氨基酸螯合钙,钙/矿物质,90粒,3粒,0,0,0,0,0,氨基酸螯合钙750mg+D3+Mg,高吸收螯合钙
151,NOW Foods,锌50mg,锌,250片,1片,0,0,0,0,0,锌(葡萄糖酸锌)50mg,
152,汤臣倍健,锌+硒片,锌硒,60片,1片,0,0,0,0,0,锌15mg+硒50μg,
153,NOW Foods,甘氨酸镁,镁,180粒,2粒,0,0,0,0,0,元素镁200mg(甘氨酸镁螯合),高吸收
154,Swisse,女性铁+叶酸,铁/叶酸,30片,1片,0,0,0,0,0,铁14mg+叶酸0.4mg+B12,
155,NOW Foods,铁18mg,铁,120粒,1粒,0,0,0,0,0,铁(双甘氨酸亚铁)18mg,温和不便秘
156,汤臣倍健,活性叶酸,叶酸,60片,1片,0,0,0,0,0,叶酸0.4mg(400μg),备孕/孕早期必备
157,汤臣倍健,叶酸+铁,叶酸/铁,90片,1片,0,0,0,0,0,叶酸0.4mg+铁14mg,
158,Swisse,叶酸+碘,叶酸,60片,1片,0,0,0,0,0,叶酸0.5mg+碘150μg,
159,自然之宝,叶酸400mcg,叶酸,100片,1片,0,0,0,0,0,叶酸400μg,
160,NOW Foods,叶酸800mcg,叶酸,250片,1片,0,0,0,0,0,叶酸800μg,
161,Thorne,甲基叶酸,活性叶酸,60粒,1粒,0,0,0,0,0,甲基叶酸(5-MTHF)1mg,活性形式 MTHFR基因变异者适用
162,Life Extension,叶酸+B12,叶酸/B12,100粒,1粒,0,0,0,0,0,叶酸200μg+甲基B12 1mg,
163,GNC,叶酸400,叶酸,100片,1片,0,0,0,0,0,叶酸400μg,
164,诺特兰德,叶酸片,叶酸,100片,1片,0,0,0,0,0,叶酸400μg,
165,康恩贝,孕妇叶酸,叶酸,60片,1片,0,0,0,0,0,叶酸0.4mg,国内药店常见
166,汤臣倍健,益生菌粉,益生菌,30袋,1袋,21,5,0,0,1.25,乳杆菌+双歧杆菌 100亿CFU,
167,Swisse,益生菌+益生元,益生菌,30粒,1粒,0,0,0,0,0,多菌种益生菌60亿CFU+菊粉(益生元),
168,NOW Foods,益生菌80亿,益生菌,90粒,1粒,0,0,0,0,0,多菌种益生菌80亿CFU,
169,NOW Foods,益生菌250亿,益生菌,50粒,1粒,0,0,0,0,0,多菌种益生菌250亿CFU,
170,Garden of Life,有机益生菌,益生菌,30粒,1粒,0,0,0,0,0,50亿CFU+有机益生元纤维,
171,Culturelle,LGG乳酸菌,益生菌,30粒,1粒,0,0,0,0,0,鼠李糖乳杆菌LGG 100亿CFU,临床最研究益生菌株
172,Bio-Kult,博克多菌株益生菌,益生菌,30粒,2粒,0,0,0,0,0,14种菌株 40亿CFU,
173,星期一,益生菌粉,益生菌,30袋,1袋,21,5,0,0,1.25,多菌种50亿CFU+益生元,
174,诺特兰德,益生菌胶囊,益生菌,60粒,2粒,0,0,0,0,0,多菌种100亿CFU,
175,康比特,运动益生菌,益生菌,30粒,1粒,0,0,0,0,0,益生菌50亿CFU+消化酶,
176,汤臣倍健,生物素(维生素H),生物素,60片,1片,0,0,0,0,0,生物素(维生素H/B7)2.5mg,
177,Swisse,生物素美发,生物素,60片,1片,0,0,0,0,0,生物素5mg+锌+维生素C,
178,NOW Foods,生物素5mg,生物素,120粒,1粒,0,0,0,0,0,生物素5000μg(5mg),
179,自然之宝,生物素5000,生物素,150粒,1粒,0,0,0,0,0,生物素5000μg,
180,Nature Made,生物素2500,生物素,150粒,1粒,0,0,0,0,0,生物素2500μg,
181,星期一,生物素+胶原蛋白,生物素,60粒,1粒,0,0,0,0,0,生物素5mg+胶原蛋白肽300mg,
182,GNC,生物素5000,生物素,120粒,1粒,0,0,0,0,0,生物素5000μg,
183,诺特兰德,生物素,生物素,100片,1片,0,0,0,0,0,生物素2500μg,
184,汤臣倍健,锌片,锌,60片,1片,0,0,0,0,0,锌10mg(葡萄糖酸锌),
185,NOW Foods,锌锭15mg,锌,100粒,1粒,0,0,0,0,0,锌(葡萄糖酸锌)15mg+维生素C,
186,NOW Foods,硒200mcg,硒,180粒,1粒,0,0,0,0,0,硒(硒代甲硫氨酸)200μg,有机硒 高吸收
187,汤臣倍健,铁维生素C,铁,90片,1片,0,0,0,0,0,铁10mg+维生素C 100mg,
188,NOW Foods,甘氨酸锌,锌,120粒,1粒,0,0,0,0,0,元素锌30mg(甘氨酸锌螯合),
189,Life Extension,超级硒复合,硒,100粒,1粒,0,0,0,0,0,有机硒200μg+β-葡聚糖,
190,NOW Foods,碘150mcg,碘,150粒,1粒,0,0,0,0,0,碘(碘化钾)150μg,
191,Swisse,磷脂酰丝氨酸,脑部补剂,60粒,1粒,42,10,0,1,0,磷脂酰丝氨酸100mg,
192,NOW Foods,磷脂酰丝氨酸100mg,脑部补剂,120粒,1粒,42,10,0,1,0,磷脂酰丝氨酸100mg+DHA,
193,汤臣倍健,银杏叶提取物,脑部补剂,60片,1片,0,0,0,0,0,银杏叶提取物120mg(银杏黄酮苷28.8mg),
194,NOW Foods,白藜芦醇,抗氧化,60粒,1粒,0,0,0,0,0,白藜芦醇100mg,
195,Life Extension,烟酰胺核糖苷NR,NAD+前体,30粒,1粒,0,0,0,0,0,烟酰胺核糖苷250mg,抗衰老
196,NOW Foods,烟酸(维生素B3),维生素B3,100粒,1粒,0,0,0,0,0,烟酸500mg,
197,汤臣倍健,葡萄籽提取物,抗氧化,60粒,1粒,0,0,0,0,0,葡萄籽原花青素100mg,OPC 95%
198,Swisse,辅酶Q10+鱼油,综合配方,60粒,1粒,84,20,0,2,0,辅酶Q10 150mg+Omega-3 500mg,复合配方
199,NOW Foods,α-硫辛酸,抗氧化,100粒,1粒,0,0,0,0,0,α-硫辛酸100mg,
200,Swisse,综合护肝片,护肝综合,60片,1片,0,0,0,0,0,水飞蓟500mg+朝鲜蓟提取物300mg+蒲公英,
